id,name,party,partyLabel,votes,election,electionLabel,ranking
Q19882694,Neil Gray,Q10658,Scottish National Party,17929,Q30173038,General election 2019,1
,Helen McFarlane,Q3179541,Scottish Labour Party,12728,Q30173038,General election 2019,2
,Lorraine Nolan,Q3243587,Scottish Conservative and Unionist Party,7011,Q30173038,General election 2019,3
,William Crossman,Q3250438,Scottish Liberal Democrats,1419,Q30173038,General election 2019,4
,Rosemary McGowan,Q1256956,Scottish Green Party,685,Q30173038,General election 2019,5
Q19882694,Neil Gray,Q10658,Scottish National Party,14291,Q25052149,General election 2017,1
,Helen McFarlane,Q9630,Labour Party (UK),14096,Q25052149,General election 2017,2
,Jennifer Donnellan,Q9626,Conservative Party (UK),8813,Q25052149,General election 2017,3
,Ewan McRobert,Q9624,Liberal Democrats (UK),802,Q25052149,General election 2017,4
Q19882694,Neil Gray,Q10658,Scottish National Party,23887,Q3586935,General election 2015,1
Q577897,Pamela Nash,Q9630,Labour Party (UK),15108,Q3586935,General election 2015,2
,Eric Holford,Q9626,Conservative Party (UK),3389,Q3586935,General election 2015,3
,Matthew Williams,Q10647,UK Independence Party,1088,Q3586935,General election 2015,4
,John Love,Q9624,Liberal Democrats (UK),678,Q3586935,General election 2015,5
,Deryck Beaumont,Q327591,Independent (politician),136,Q3586935,General election 2015,6
Q577897,Pamela Nash,Q9630,Labour Party (UK),20849,Q215622,General election 2010,1
,Sophia Coyle,Q10658,Scottish National Party,8441,Q215622,General election 2010,2
,Ruth Whitfield,Q9626,Conservative Party (UK),3133,Q215622,General election 2010,3
,John Love,Q9624,Liberal Democrats (UK),2898,Q215622,General election 2010,4
,John McGeechan,Q327591,Independent (politician),528,Q215622,General election 2010,5
Q333461,John Reid,Q9630,Labour Party (UK),19568,Q428598,General election 2005,1
,Malcolm Balfour,Q10658,Scottish National Party,5484,Q428598,General election 2005,2
,Helen Watt,Q9624,Liberal Democrats (UK),3792,Q428598,General election 2005,3
,Stuart Cottis,Q9626,Conservative Party (UK),3271,Q428598,General election 2005,4
,Fraser Coats,Q891900,Scottish Socialist Party,706,Q428598,General election 2005,5
,Joseph Rowan,Q39928625,Scottish Independence Party,337,Q428598,General election 2005,6
Q334128,Helen Liddell,Q9630,Labour Party (UK),18478,Q590740,General election 2001,1
,Alison Lindsay,Q10658,Scottish National Party,6138,Q590740,General election 2001,2
,John Love,Q9624,Liberal Democrats (UK),2376,Q590740,General election 2001,3
,Gordon McIntosh,Q9626,Conservative Party (UK),1960,Q590740,General election 2001,4
,Mark Dempsey,Q7438011,Scottish Unionist Party (1986),1439,Q590740,General election 2001,5
,Kenny McGuigan,Q891900,Scottish Socialist Party,1171,Q590740,General election 2001,6
,Chris Herriot,Q3491460,Socialist Labour Party (UK),174,Q590740,General election 2001,7
Q334128,Helen Liddell,Q9630,Labour Party (UK),25460,Q918503,General election 1997,1
,Keith R.A. Robertson,Q10658,Scottish National Party,10048,Q918503,General election 1997,2
,Nicholas H. Brook,Q9626,Conservative Party (UK),3660,Q918503,General election 1997,3
,Richard G. Wolseley,Q9624,Liberal Democrats (UK),1719,Q918503,General election 1997,4
,Crawford Semple,Q278315,Referendum Party,294,Q918503,General election 1997,5
